feature,importance
Support Calls,2.8665052943345013
HighRiskFlag,2.224894780579519
SupportIntensity,1.4680751228513789
Total Spend,1.3839022569534758
Payment Delay,1.2858753456399417
Gender,1.0945175274939523
AgeGroup,0.6166865320948889
Age,0.5013190998126984
Last Interaction,0.4809646867359267
Usage Frequency,0.2766687014040133
EngagementScore,0.24006682353942507
Tenure,0.21688973138964143
SpendPerTenure,0.11777371520548378
TenureGroup,0.11266262052599296
Subscription Type,0.06574918688485293
CallsPerTenure,0.042745910594673746
DelayRatio,0.018663133891896576
Contract Length,0.00454110415420979
